DateofSale,Address,PostalCode,County,Price,NotFullMarketPrice,VATExclusive,DescriptionofProperty,PropertySizeDescription,lat,lng,address_types,formatted_address,transformed_address,YearMonth
2016-02-12,"INVER, BARNATRA, BALLINA",,15,140000.0,0,0,1,,54.1149482,-9.1550693,57,"Ballina, Co. Mayo, Ireland",414,201602
2014-09-07,"11 APARTMENT BLOCK, OXMANTOWN GREEN, BLACKHALL PLACE",,5,197885.0,0,0,1,,53.3483576,-6.2816044,62,"Apartment 1, Oxmantown Green, Blackhall Pl, Smithfield, Dublin 7, Ireland",993,201409
2016-12-20,"12 CABRA PARK, PHIBSBOROUGH, DUBLIN 7",Dublin 7,5,402000.0,0,0,1,,53.3621164,-6.2773623,64,"12 Cabra Park, Cabra East, Dublin 7, D07 W427, Ireland",2084,201612
2018-08-03,"14 ANNFIELD VIEW, CARPENTERSTOWN RD, CASTLEKNOCK DUBLIN 15",Dublin 15,5,257500.0,0,0,1,,53.3760977,-6.3909926,64,"15 Carpenterstown Road, Carpenterstown, Castleknock, Co. Dublin, Ireland",2165,201808
2016-04-02,"13 SUMMERSEAT GREEN, CLONEE, CO.MEATH",,16,160000.0,0,1,0,greater than or equal to 38 sq metres and less than 125 sq metres,53.407742,-6.4445028,64,"13 Summerseat Green, Co. Meath, Ireland",6813,201604
2018-12-12,"56 PEMBROKE LANE, DUBLIN 2, DUBLIN",Dublin 2,5,600000.0,0,0,1,,53.33645749999999,-6.2516719,64,"56 Pembroke Ln, Dublin, D02 KN59, Ireland",5612,201812
2014-07-31,"CARRICK LODGE, 13 CARRICK TERRACE, RIALTO",,5,197000.0,0,0,1,,53.33586409999999,-6.293267300000001,62,"Carrick Lodge, 13 Carrick Terrace, Rialto, Dublin 8, D08 Y2R6, Ireland",4676,201407
2014-06-17,"62 MOUNT PROSPECT DR, CLONTARF, DUBLIN 3",Dublin 3,5,541000.0,0,0,1,,53.36844499999999,-6.1886244,64,"62 Mount Prospect Dr, Clontarf, Dublin 3, D03 A394, Ireland",5157,201406
2011-08-20,"Crosstown, Wexford",,24,260000.0,0,0,1,,52.3554415,-6.463532,58,"Crosstown, Co. Wexford, Ireland",423,201108
2014-07-15,"29 Curragh Hall Green, Tyrellstown, Castleknock",Dublin 15,5,151900.0,0,0,1,,53.4151547,-6.3875499,64,"29 Curragh Hall Green, Tyrrelstown, Dublin, D15 H6XD, Ireland",3037,201407
2018-10-12,"KILMAGLUSH, FENAGH RD, MYSHALL",,0,300000.0,0,0,1,,52.7146188,-6.821348,58,"Kilmaglush, Co. Carlow, Ireland",396,201810
2019-05-04,"10 SLIEVEKEILE RD, WATERFORD CITY, WATERFORD",,22,90000.0,0,0,1,,52.2543952,-7.1249043,64,"10 Bernard Pl, Slievekeale Rd, Waterford, X91 W2XK, Ireland",1805,201905
2016-06-09,"146 ACHA BHILE, LAHINCH ROAD",,2,68281.0,0,1,0,greater than or equal to 38 sq metres and less than 125 sq metres,52.8587411,-9.012063699999999,62,"Acha Bhile, Lahinch Rd, Loughvella, Ennis, Co. Clare, Ireland",1814,201606
2015-08-31,"491, Collins Avenue, Whitehall",Dublin 9,5,465000.0,0,0,1,,53.3831441,-6.2469907,64,"Cascia, 491 Collins Ave W, Whitehall, Dublin, D09 H682, Ireland",138,201508
2020-12-22,"29 COILL AOIBHINN, NEWTOWN RD, WEXFORD",,24,345000.0,0,0,1,,52.3424518,-6.5049572,64,"29 Coill Aoibhinn, Ballyboggan, Co. Wexford, Y35 E8E2, Ireland",2654,202012
2018-04-05,"55 THE COTSWALDS, CASTLEREDMOND, MIDLETON",,3,310000.0,0,0,1,,51.9048306,-8.1691485,64,"55 The Cotswolds, Castleredmond, Midleton, Co. Cork, P25 DN27, Ireland",6984,201804
2015-12-17,"42 RED ARCHES DR, THE COAST, BALDOYLE DUBLIN 13",Dublin 13,5,225000.0,0,0,1,,53.4020553,-6.1400771,64,"42 Red Arches Dr, The Coast, Dublin 13, D13 AK70, Ireland",6027,201512
2015-01-19,"33 ST BRENDANS COTTAGES, IRISHTOWN, DUBLIN 4",Dublin 4,5,296500.0,0,0,1,,53.3405174,-6.2237604,64,"33 Saint Brendan's Cottages, Dublin 4, D04 H6F5, Ireland",6294,201501
2016-09-27,"3 Phelan Avenue, Royal Canal Park, Ashtown",Dublin 15,5,308400.0,0,1,0,greater than or equal to 38 sq metres and less than 125 sq metres,53.3761976,-6.3150048,64,"3 Phelan Ave, Ashtown, Dublin, D15 NFN8, Ireland",5625,201609
2015-12-18,"49 RIVERWALK, MAIN ST, CASTLEREA",,19,20500.0,0,0,1,,53.7686571,-8.4924537,57,"Demesne, Castlerea, Co. Roscommon, Ireland",366,201512
2014-06-08,"Apartment 19, The Reeks Gateway, Killarney",,7,32727.0,0,1,0,greater than or equal to 38 sq metres and less than 125 sq metres,52.0681869,-9.5171266,62,"The Reeks Gateway, Tralee Rd, Ardnamweely, Killarney, Co. Kerry, Ireland",6035,201406
2012-08-31,"13 Martello Court, Portmarnock",,5,400000.0,0,0,1,,53.4347995,-6.1355539,64,"13 Martello Ct, Carrickhill, Portmarnock, Co. Dublin, D13 RD25, Ireland",4913,201208
2010-08-30,"No. 7 Arranmore View, Roshin Acres, Burtonport",,4,133762.11,0,1,0,greater than or equal to 38 sq metres and less than 125 sq metres,54.9874345,-8.5350585,41,"Arranmore, Co. Donegal, Ireland",402,201008
2020-12-02,"17 SOMERTON PARK, BALLINLOUGH, CORK",,3,290000.0,0,0,1,,51.8876313,-8.4421162,64,"17 Somerton Park, Ballinlough, Cork, T12 HK5P, Ireland",6475,202012
2020-10-12,"THE DIAMOND, CASTLEFIN, LIFFORD",,4,67000.0,0,0,1,,54.802999,-7.5895814,57,"Castlefinn, Co. Donegal, Ireland",402,202010
2018-05-29,"38 St Edmunds Grove, Loman&#039;s Road",,5,420000.0,0,0,0,greater than or equal to 38 sq metres and less than 125 sq metres,52.822473642491516,-7.744852870130693,0,,0,201805
2016-02-17,"APT 26, ABBEY COURT, WEXFORD",,24,113000.0,0,0,1,,52.3404204,-6.4658583,62,"Abbey Court, Upper george's St, Ferrybank South, Wexford, Ireland",2924,201602
2017-12-21,"2 CASTLE VILLAGE PARK, CELBRIDGE, KILDARE",,8,305000.0,0,0,1,,53.3517488,-6.5475764,64,"2 Castle Village Park, Thornhill, Celbridge, Co. Kildare, W23 YC91, Ireland",2252,201712
2017-03-15,"34 FINN ST, DUBLIN 7, DUBLIN",Dublin 7,5,255000.0,0,0,1,,53.3529911,-6.2907442,64,"34 Finn St, Arbour Hill, Stoneybatter, Dublin, D07 H5W7, Ireland",3539,201703
2019-05-20,"58 FINLAY PARK, OLD CARRAGH ROAD, NAAS",,8,348017.0,0,1,0,,53.22052720000001,-6.673657,64,"58 Finlay Park, Naas West, Co. Kildare, W91 K3E5, Ireland",3536,201905
2012-09-24,"1 Lambourne Village, Clontarf",,5,140000.0,0,0,1,,53.3644733,-6.207940199999999,64,"1 Lambourne Village, Clontarf, Dublin 3, D03 KT95, Ireland",4498,201209
2021-04-23,"304 CUBES 3, BEACON SOUTH QUARTER, BLACKTHORN RD",Dublin 18,5,383500.0,0,0,1,,53.2775421,-6.2166745,39,"Blackthorn Rd, Sandyford, Dublin, Ireland",5990,202104
2020-08-09,"29 TI NA RI, ATHENRY RD, LOUGHREA",,6,262000.0,0,0,1,,53.2037947,-8.584439399999999,64,"29 Tí Na Rí, Cosmona, Loughrea, Co. Galway, H62 F677, Ireland",7323,202008
2020-11-19,"4 DRISARDEN, GORTLEE, LETTERKENNY",,4,125000.0,0,0,1,,54.9569281,-7.7200698,64,"4 Drisarden, Gortlee, Letterkenny, Co. Donegal, F92 XAF4, Ireland",3192,202011
2017-10-31,"8 CARRICK CRESCENT, BALLYBOFEY, DONEGAL",,4,120000.0,1,0,1,,54.7930934,-7.796285200000001,64,"8 Carrick Cres, Ballybofey, Co. Donegal, F93 YH52, Ireland",2179,201710
2013-06-09,"RAHEEN, BANTRY",,3,119000.0,0,0,1,,51.6800803,-9.452576299999999,57,"Bantry, Co. Cork, Ireland",400,201306
2013-01-30,"18 Glen Corrin, Watergrasshill, Cork",,3,150000.0,0,1,0,greater than or equal to 38 sq metres and less than 125 sq metres,52.0166368,-8.3396932,44,"1 Gleann Corráin, Meenane, Watergrasshill, Co. Cork, T56 YY29, Ireland",3687,201301
2018-10-26,"38 ROSSANA CLOSE, ASHFORD, WICKLOW",,25,38000.0,1,0,1,,53.0032685,-6.108809000000001,64,"38 Rossana Cl, Ballinalea, Ashford, Co. Wicklow, A67 RW60, Ireland",6229,201810
2016-01-19,"4 GLEANN ARAS VIEW, GRENAGH, CORK",,3,180000.0,1,0,1,,52.0115142,-8.6082199,64,"4 Gleann Aras View, Grenagh North, Grenagh, Co. Cork, T23 RH2T, Ireland",3682,201601
2011-12-09,"Lissacarrow, Fuerty",,19,150000.0,0,0,1,,53.6131024,-8.2591228,58,"Fuerty, Co. Roscommon, Ireland",418,201112
2016-10-11,"47 TRIOG MANOR, PORTLAOISE, LAOIS",,10,120000.0,1,0,1,,53.04269069999999,-7.304625,64,"47 Triogue Manor, Borris Little, Portlaoise, Co. Laois, R32 X5R3, Ireland",7289,201610
2021-05-05,"80 Longview Avenue, Millers Glen, Swords",,5,400881.0,0,1,0,,53.4716715,-6.242721899999999,44,"Longview Ave, Oldtown, Co. Dublin, Ireland",1507,202105
2010-05-02,"Apartment 24, Green Park, Dundalk",,14,387665.0,0,1,0,greater than 125 sq metres,53.9979451,-6.405957,57,"Dundalk, Co. Louth, Ireland",413,201005
2014-10-01,"3 Beverton Court, Donabate",,5,75000.0,0,0,1,,53.48792160000001,-6.1586016,64,"3 Beverton Ct, Ballalease West, Donabate, Co. Dublin, Ireland",1812,201410
2021-05-02,"37 THE ELMS, LOUGH NA GLACK, CARRICKMACROSS",,17,101321.59,0,1,0,,53.9667257,-6.699143599999999,41,"Lough Naglack, Co. Monaghan, Ireland",5251,202105
2017-07-20,"CASTLETOWN, TARA, CO MEATH",,16,100000.0,1,0,1,,53.5893117,-6.6326481,58,"Castletown Tara, Co. Meath, Ireland",6861,201707
2020-08-20,"17 KINCORA DR, CLONTARF, DUBLIN 3",Dublin 3,5,740000.0,0,0,1,,53.36444419999999,-6.2100901,64,"17 Kincora Dr, Clontarf, Dublin 3, D03 HP77, Ireland",4427,202008
2013-02-28,"18 Saint Columbas Road, Greenhills, Dublin",Dublin 12,5,123750.0,1,0,1,,53.3116835,-6.3396464,64,"18 St Columba's Rd, Greenhills, Dublin 12, D12 R3K2, Ireland",6637,201302
2018-03-29,"13 GRACES PARK, DERRINTORN, CARBURY",,8,218000.0,0,0,1,,53.3369091,-6.9331613,64,"13 Grace's Park, Dreenan, Derrinturn, Co. Kildare, W91 HX43, Ireland",3800,201803
2014-10-07,"16 GRANVILLE RD, DUN LAOGHAIRE, DUBLIN",,5,515000.0,0,0,1,,53.2638765,-6.144624299999999,64,"16 Granville Rd, Glenageary, Dublin, A96 CX61, Ireland",3839,201410
2020-03-11,"BALLINTUBBER, CLAREMORRIS, MAYO",,15,84000.0,1,0,1,,53.72387639999999,-9.0017356,57,"Clare, Claremorris, Co. Mayo, Ireland",380,202003
2018-05-06,"27 MELVILLE RISE, CITYSIDE, MEAKSTOWN DUBLIN 11",Dublin 11,5,155000.0,0,0,1,,53.4027159,-6.298639700000001,64,"27 Melville Rise, Meakstown, Dublin, Ireland",4995,201805
2015-03-27,"10 ELM COURT, THE PARK, KILLARNEY",,7,172000.0,0,0,1,,52.06416,-9.491131,63,"Elm Ct, Killarney, Co. Kerry, Ireland",3013,201503
2021-08-03,"4 BRENNANSTOWN AVE, CABINTEELY, DUBLIN 18",Dublin 18,5,700000.0,0,0,1,,53.2573908,-6.150351700000001,64,"4 Brennanstown Ave, Kilbogget, Cabinteely, Co. Dublin, D18 Y967, Ireland",1969,202108
2014-10-17,"24 LIR PARK, CASTLEPOLLARD, WESTMEATH",,23,110000.0,0,0,1,,53.6808188,-7.287693699999999,64,"24 Lir Park, Townparks, Castlepollard, Co. Westmeath, N91 E0V8, Ireland",4628,201410
2013-10-31,"No 70, Friars Walk, Cork City",,3,15000.0,0,0,1,,51.8889486,-8.4793477,64,"70 Friars Walk, Deerpark, Ballyphehane, Cork, T12 ECA3, Ireland",3600,201310
2020-02-04,"6 SUMMERFIELDS, COBH, CO CORK",,3,175000.0,0,0,1,,51.8527831,-8.3046654,64,"6 Summerfields, Ballyvoloon, Cobh, Co. Cork, P24 X851, Ireland",6809,202002
2011-08-08,"44 Hermitage, Ennis",,2,73500.0,0,0,1,,52.84520449999999,-8.991891599999999,64,"44 Hermitage, Cloughleigh, Ennis, Co. Clare, V95 E1WA, Ireland",4046,201108
2015-02-12,"9 BROOKHURST, COLLINS AVE, DUNMORE RD",,22,230000.0,0,0,1,,52.2402585,-7.0745143,59,"Collins Avenue, Waterford, Ireland",1517,201502
2019-07-25,"39 MILLRACE RD, PHEONIX PARK RACECOURSE, CASTLEKNOCK DUBLIN 15",Dublin 15,5,310000.0,0,0,1,,53.3727231,-6.3360501,63,"Millrace Rd, Pelletstown, Dublin, Ireland",5978,201907
2016-02-17,"25 The Links, Elm Park, Merrion Road",Dublin 4,5,167117.0,0,0,1,,53.3138802,-6.2074079,44,"The Links, Elmpark, Merrion Rd, Dublin 4, Co. Dublin, Ireland",4614,201602
2017-10-31,"5 KINVARA AVE, NAVAN RD, DUBLIN 7",Dublin 7,5,450000.0,0,0,1,,53.36915010000001,-6.3176884,64,"5 Kinvara Ave, Ashtown, Dublin 7, D07 R984, Ireland",4433,201710
2019-09-17,"8 MAGENNIS SQ, MAGENNIS PLACE, DUBLIN 2",Dublin 2,5,316500.0,0,0,1,,53.34499,-6.2480366,64,"8 Magennis Square, Dublin, Ireland",4792,201909
2012-06-22,"28 Whitechurch Ave, Rathfarnham",Dublin 14,5,103000.0,0,0,1,,53.2778362,-6.2911493,64,"28 Whitechurch Ave, Ballyboden, Dublin 16, D16 AD79, Ireland",7572,201206
2021-08-23,"13 RATH NA GLOINE, DROMISKIN, DUNDALK",,14,213000.0,0,0,1,,53.9217123,-6.401009200000001,57,"Dromiskin, Co. Louth, Ireland",413,202108
2019-11-13,"DRUMCOLE, BELTURBET, CAVAN",,1,265000.0,0,0,1,,54.1071201,-7.4766748,58,"Drumcole, Co. Cavan, Ireland",398,201911
2019-03-14,"No. 32, The Corner Site, Fairfield",,7,96917.0,0,1,0,,41.1408363,-73.2612615,57,"Fairfield, CT, USA",327,201903
2011-06-09,"22 Kincora Park, Clontarf",Dublin 3,5,685000.0,0,0,1,,53.3613217,-6.2002292,64,"22 Kincora Park, Clontarf, Dublin 3, D03 A316, Ireland",4428,201106
2010-03-12,"Carrowcashel, Riverstown",,20,150000.0,0,0,1,,52.822473642491516,-7.744852870130693,0,,0,201003
2018-06-25,"Bunker's Hill, Curracloe, County Wexford",,24,150000.0,0,1,0,greater than or equal to 38 sq metres and less than 125 sq metres,52.3931816,-6.3921174,57,"Barnahask, Curracloe, Co. Wexford, Ireland",468,201806
2010-08-20,"42 Thornberry, Truskey West, Barna",,6,200000.0,0,1,0,less than 38 sq metres,53.2534352,-9.155672599999999,64,"42 Thornberry, Trusky West, Barna, Co. Galway, H91 D155, Ireland",7224,201008
2018-12-01,"23 HILLVIEW EST, DUNSHAUGHLIN, MEATH",,16,150000.0,0,0,1,,53.516827,-6.5416325,64,"23 Hillview Estate, Grangend, Dunshaughlin, Co. Meath, A85 RH96, Ireland",4112,201812
2017-08-28,"26 KILQUADE HILL, KILQUADE, WICKLOW",,25,685000.0,0,0,1,,53.1001559,-6.084816,64,"26 Kilquade Hill, Kilquade, Co. Wicklow, A63 W898, Ireland",4410,201708
2016-07-04,"APT 6, RAHENY WOOD, RAHENY RD DUBLIN 5",Dublin 5,5,162000.0,0,0,1,,53.3835247,-6.1772181,62,"Raheny Wood, Raheny Rd, Donaghmede, Dublin 5, Ireland",7667,201607
2018-07-12,"ROSE COTTAGE, GLENADE, LEITRIM",,11,45000.0,0,0,1,,54.16593,-8.269029999999999,57,"Garvagh, Rose Cottage, Co. Leitrim, Ireland",840,201807
2012-09-17,"Baptistgrange, Lisronagh, Clonmel",,21,185000.0,0,0,1,,52.417443,-7.7028889,57,"Shanbally, Lisronagh, Co. Tipperary, Ireland",704,201209
2015-09-14,"7 LONGVIEW AVENUE, MILLERS GLEN, SWORDS",,5,246651.59,0,1,0,greater than or equal to 38 sq metres and less than 125 sq metres,53.4716715,-6.242721899999999,44,"Longview Ave, Oldtown, Co. Dublin, Ireland",1507,201509
2019-09-04,"FYANSTOWN, KELLS, COUNTY MEATH",,16,155000.0,0,0,1,,53.7232055,-6.8188456,58,"Fyanstown, Co. Meath, Ireland",415,201909
2016-07-04,"18 HARBOUR COURT, GEORGES PLACE, DUN LAOGHAIRE",,5,460000.0,0,0,1,,53.2947752,-6.1393464,63,"George's Pl, Dún Laoghaire, Dublin, Ireland",5653,201607
2012-07-06,"17 Carriglea Downs, Dun Laoghaire",,5,235000.0,0,0,1,,53.27762269999999,-6.3402862,64,"17 Carriglea Downs, Tallaght, Dublin 24, D24 A2R0, Ireland",2192,201207
2016-12-08,"CASTLEROCHE, DUNDALK, CO LOUTH",,14,51500.0,0,0,1,,53.9979451,-6.405957,57,"Dundalk, Co. Louth, Ireland",413,201612
2018-05-14,"MAIN ST, TARBERT, CO KERRY",,7,35000.0,0,0,1,,52.5725966,-9.3751312,57,"Tieraclea Lower, Tarbert, Co. Kerry, Ireland",4750,201805
2019-05-02,"4 KILLRAINEY HOUSE, CHURCH RD, MOYCULLEN",,6,90000.0,0,0,1,,53.3410993,-9.1759725,62,"Apartment 2, Killrainey House, Church Rd, Ballycuirke West, Moycullen, Co. Galway, Ireland",1043,201905
2017-01-20,"97 GREENFIELDS, ROSBRIEN, LIMERICK",,12,160000.0,0,0,1,,52.6469838,-8.6332899,64,"97 Greenfields, Rossbrien, Limerick, V94 EY6F, Ireland",3866,201701
2020-01-15,"FIAN, TARMONSCROSS, WATERVILLE",,7,160000.0,0,0,1,,52.822473642491516,-7.744852870130693,0,,0,202001
2016-08-12,"1 Barnwell Square West, Barnwell Square, Hansfield",Dublin 15,5,263777.54,0,1,0,greater than or equal to 38 sq metres and less than 125 sq metres,53.3916459,-6.4435736,64,"1 Barnwell Square W, Hansfield, Dublin, D15 K6XC, Ireland",1606,201608
2012-12-12,"33 Clifden Glen, Clifden, Co. Galway",,6,59995.0,0,0,1,,53.4879208,-9.9842488,64,"33 Clifden Glen, Couravoughil, Clifden, Co. Galway, H71 EY95, Ireland",2503,201212
2010-02-17,"195 Rusheeny Village, Clonsilla",,5,205000.0,0,0,1,,53.3868977,-6.4244504,58,"Clonsilla, Dublin, Ireland",512,201002
2021-03-02,"28 KNOCKAULIN DRIVE, FERBANE, COUNTY OFFALY",,18,160000.0,0,0,1,,53.2769212,-7.829810999999999,62,"28 Knockaulin Dr, Ferbane, Co. Offaly, R42 PX57, Ireland",4446,202103
2015-12-11,"4 Maudlin Road, Kells",,16,108000.0,0,0,1,,53.7318041,-6.8732367,64,"4 The Glebe, Maudlin Rd, Maudlin, Kells, Co. Meath, A82 P2N9, Ireland",7054,201512
2018-07-03,"153 SALLINS BRIDGE, SALLINS, KILDARE",,8,370000.0,0,0,1,,53.2508061,-6.663240200000001,64,"153 Sallins Bridge, Sallins, Co. Kildare, W91 W2P9, Ireland",6296,201807
2016-08-09,"22 RIVERSTOWN HOUSE, SPENCER DOCK, DUBLIN 1",Dublin 1,5,315000.0,0,0,1,,53.3499576,-6.237982499999999,44,"North Dock, Dublin, Co. Dublin, Ireland",3150,201608
2021-05-18,"BALLINANIMA, KILFINANE, COUNTY LIMERICK",,12,178000.0,0,0,1,,52.3586898,-8.4672787,57,"Kilfinnane, Kilfinane, Co. Limerick, Ireland",629,202105
2018-12-19,"109 BEECHWOOD COURT, STILLORGAN RD, STILLORGAN",,5,400000.0,0,0,1,,53.2813387,-6.191225699999999,64,"109 Beechwood Ct, Galloping Green North, Dublin, A94 T262, Ireland",1716,201812
2017-03-29,"131 AN CAISLEAN, BALLINCOLLIG, CORK",,3,210000.0,0,0,1,,51.8841976,-8.604748299999999,59,"An Caisleán, Ballincollig, Co. Cork, Ireland",2103,201703
2016-03-22,"51 BROOKLAWN, STRANDVILE AVE EAST, CLONTARF DUBLIN 3",Dublin 3,5,300000.0,0,0,1,,53.3654616,-6.219144900000001,64,"51 Brooklawn, Clontarf, Dublin, Ireland",2016,201603
2015-07-08,"33 Castle Meadows, Skehard Road, CORK",,3,227000.0,0,0,1,,51.8920274,-8.3965072,64,"33 Castle Meadows, Mahon, Cork, Ireland",2243,201507
2015-09-30,"5 Mullawn Crescent, Tullow, County Carlow",,0,110000.0,0,1,0,greater than or equal to 38 sq metres and less than 125 sq metres,52.7978184,-6.7323992,64,"5 Mullawn Cres, Templeowen, Tullow, Co. Carlow, R93 CT86, Ireland",5214,201509
2012-11-28,"Apartment No. 5 The Green, Kensington Lodge, Rochestown Avenue  Dun Laoighaire",,5,154000.0,0,0,1,,53.2780899,-6.1535517,62,"Kensington Lodge, Rochestown Ave, Dún Laoghaire, Dublin, Ireland",4705,201211
2016-04-25,"UNIT 39, CARRAIG ABHAINN, MORTARSTOWN RD",,0,65000.0,0,0,1,,52.8252731,-6.938358099999999,64,"39 Carraig Abhainn, Moanacurragh, Carlow, Ireland",2169,201604
2020-10-29,"67 EVERGREEN RD, CORK, CORK",,3,130000.0,0,0,1,,51.8903484,-8.4705201,64,"67 Evergreen Rd, Cork, Ireland",3433,202010
2013-02-13,"52 The Brambles, Pontoon Road, Castlebar",,15,195000.0,0,0,1,,53.8674958,-9.2931394,64,"52 The Brambles, Castlebar, Co. Mayo, Ireland",6958,201302
2017-10-03,"5 thorndale, delgany",,25,427313.0,0,1,0,greater than or equal to 38 sq metres and less than 125 sq metres,53.134942,-6.0890809,64,"5 Thorndale, Delgany, Co. Wicklow, A63 FD62, Ireland",7233,201710
2015-04-24,"47 CROYDON GREEN, MARINO, DUBLIN 3",Dublin 3,5,375000.0,0,0,1,,53.3669509,-6.2372236,64,"47 Croydon Green, Dublin 3, D03 W8N5, Ireland",2996,201504
2016-04-22,"2 CAROLANS COURT & OTHER PROPERTIES, KILRONAN CASTLE, BALLYFARNON",,19,960000.0,0,0,1,,52.822473642491516,-7.744852870130693,0,,0,201604
2015-02-17,"THE COTTAGE, ARDAMINE, GOREY",,24,90000.0,0,0,1,,52.61825,-6.229019999999999,57,"Glen (Richards), Ardamine, Co. Wexford, Ireland",4,201502
2015-11-25,"17  Monalin Hills, Newtownmountkennedy",,25,237004.39,0,1,0,greater than or equal to 38 sq metres and less than 125 sq metres,53.0927815,-6.112023,57,"Kilmacullagh, Newtown Mount Kennedy, Co. Wicklow, Ireland",783,201511
2020-07-04,"NO 7 COLLEGE CLOSE, GRANBY ROW, CARLOW",,0,93052.0,0,0,1,,52.8305439,-6.9312808,62,"2, College Close, College Gardens, Carlow, Ireland",432,202007
2016-08-18,"CHAPEL ST, KILKEE, CLARE",,2,205000.0,0,0,1,,52.6828228,-9.6444116,57,"Dough, Kilkee, Co. Clare, Ireland",631,201608
2011-06-23,"413 Carnlough Road, Cabra",Dublin 7,5,85525.0,1,0,1,,53.3698008,-6.297153,64,"413 Carnlough Rd, Cabra West, Dublin 7, D07 KHX2, Ireland",2164,201106
2015-02-17,"5 AN CRANNOG, MONAGHAN",,17,170500.0,0,1,0,greater than or equal to 38 sq metres and less than 125 sq metres,54.2492434,-6.9683082,57,"Monaghan, Ireland",603,201502
