DateofSale,Address,County,Price,NotFullMarketPrice,VATExclusive,DescriptionofProperty,formatted_address
2018-10-12,"KILMAGLUSH, FENAGH RD, MYSHALL",Carlow,300000,No,No,Second-Hand Dwelling house /Apartment,"Kilmaglush, Co. Carlow, Ireland"
2019-5-4,"10 SLIEVEKEILE RD, WATERFORD CITY, WATERFORD",Waterford,90000,No,No,Second-Hand Dwelling house /Apartment,"10 Bernard Pl, Slievekeale Rd, Waterford, X91 W2XK, Ireland"
2016-6-9,"146 ACHA BHILE, LAHINCH ROAD",Clare,68281,No,Yes,New Dwelling house /Apartment,"Acha Bhile, Lahinch Rd, Loughvella, Ennis, Co. Clare, Ireland"
2015-8-31,"491, Collins Avenue, Whitehall",Dublin,465000,No,No,Second-Hand Dwelling house /Apartment,"Cascia, 491 Collins Ave W, Whitehall, Dublin, D09 H682, Ireland"
2020-12-22,"29 COILL AOIBHINN, NEWTOWN RD, WEXFORD",Wexford,345000,No,No,Second-Hand Dwelling house /Apartment,"29 Coill Aoibhinn, Ballyboggan, Co. Wexford, Y35 E8E2, Ireland"
2018-4-5,"55 THE COTSWALDS, CASTLEREDMOND, MIDLETON",Cork,310000,No,No,Second-Hand Dwelling house /Apartment,"55 The Cotswolds, Castleredmond, Midleton, Co. Cork, P25 DN27, Ireland"
2015-12-17,"42 RED ARCHES DR, THE COAST, BALDOYLE DUBLIN 13",Dublin,225000,No,No,Second-Hand Dwelling house /Apartment,"42 Red Arches Dr, The Coast, Dublin 13, D13 AK70, Ireland"
2015-1-19,"33 ST BRENDANS COTTAGES, IRISHTOWN, DUBLIN 4",Dublin,296500,No,No,Second-Hand Dwelling house /Apartment,"33 Saint Brendan's Cottages, Dublin 4, D04 H6F5, Ireland"
2016-9-27,"3 Phelan Avenue, Royal Canal Park, Ashtown",Dublin,308400,No,Yes,New Dwelling house /Apartment,"3 Phelan Ave, Ashtown, Dublin, D15 NFN8, Ireland"
2015-12-18,"49 RIVERWALK, MAIN ST, CASTLEREA",Roscommon,20500,No,No,Second-Hand Dwelling house /Apartment,"Demesne, Castlerea, Co. Roscommon, Ireland"
2014-6-8,"Apartment 19, The Reeks Gateway, Killarney",Kerry,32727,No,Yes,New Dwelling house /Apartment,"The Reeks Gateway, Tralee Rd, Ardnamweely, Killarney, Co. Kerry, Ireland"
2012-8-31,"13 Martello Court, Portmarnock",Dublin,400000,No,No,Second-Hand Dwelling house /Apartment,"13 Martello Ct, Carrickhill, Portmarnock, Co. Dublin, D13 RD25, Ireland"
2010-8-30,"No. 7 Arranmore View, Roshin Acres, Burtonport",Donegal,133762.11,No,Yes,New Dwelling house /Apartment,"Arranmore, Co. Donegal, Ireland"
2020-12-2,"17 SOMERTON PARK, BALLINLOUGH, CORK",Cork,290000,No,No,Second-Hand Dwelling house /Apartment,"17 Somerton Park, Ballinlough, Cork, T12 HK5P, Ireland"
2020-10-12,"THE DIAMOND, CASTLEFIN, LIFFORD",Donegal,67000,No,No,Second-Hand Dwelling house /Apartment,"Castlefinn, Co. Donegal, Ireland"
2018-5-29,"38 St Edmunds Grove, Loman&#039;s Road",Dublin,420000,No,No,New Dwelling house /Apartment,
2016-2-17,"APT 26, ABBEY COURT, WEXFORD",Wexford,113000,No,No,Second-Hand Dwelling house /Apartment,"Abbey Court, Upper george's St, Ferrybank South, Wexford, Ireland"
2017-12-21,"2 CASTLE VILLAGE PARK, CELBRIDGE, KILDARE",Kildare,305000,No,No,Second-Hand Dwelling house /Apartment,"2 Castle Village Park, Thornhill, Celbridge, Co. Kildare, W23 YC91, Ireland"
2017-3-15,"34 FINN ST, DUBLIN 7, DUBLIN",Dublin,255000,No,No,Second-Hand Dwelling house /Apartment,"34 Finn St, Arbour Hill, Stoneybatter, Dublin, D07 H5W7, Ireland"
2019-5-20,"58 FINLAY PARK, OLD CARRAGH ROAD, NAAS",Kildare,348017,No,Yes,New Dwelling house /Apartment,"58 Finlay Park, Naas West, Co. Kildare, W91 K3E5, Ireland"
2012-9-24,"1 Lambourne Village, Clontarf",Dublin,140000,No,No,Second-Hand Dwelling house /Apartment,"1 Lambourne Village, Clontarf, Dublin 3, D03 KT95, Ireland"
2021-4-23,"304 CUBES 3, BEACON SOUTH QUARTER, BLACKTHORN RD",Dublin,383500,No,No,Second-Hand Dwelling house /Apartment,"Blackthorn Rd, Sandyford, Dublin, Ireland"
2020-8-9,"29 TI NA RI, ATHENRY RD, LOUGHREA",Galway,262000,No,No,Second-Hand Dwelling house /Apartment,"29 Tí Na Rí, Cosmona, Loughrea, Co. Galway, H62 F677, Ireland"
2020-11-19,"4 DRISARDEN, GORTLEE, LETTERKENNY",Donegal,125000,No,No,Second-Hand Dwelling house /Apartment,"4 Drisarden, Gortlee, Letterkenny, Co. Donegal, F92 XAF4, Ireland"
2017-10-31,"8 CARRICK CRESCENT, BALLYBOFEY, DONEGAL",Donegal,120000,Yes,No,Second-Hand Dwelling house /Apartment,"8 Carrick Cres, Ballybofey, Co. Donegal, F93 YH52, Ireland"
2013-6-9,"RAHEEN, BANTRY",Cork,119000,No,No,Second-Hand Dwelling house /Apartment,"Bantry, Co. Cork, Ireland"
2013-1-30,"18 Glen Corrin, Watergrasshill, Cork",Cork,150000,No,Yes,New Dwelling house /Apartment,"1 Gleann Corráin, Meenane, Watergrasshill, Co. Cork, T56 YY29, Ireland"
2018-10-26,"38 ROSSANA CLOSE, ASHFORD, WICKLOW",Wicklow,38000,Yes,No,Second-Hand Dwelling house /Apartment,"38 Rossana Cl, Ballinalea, Ashford, Co. Wicklow, A67 RW60, Ireland"
2016-1-19,"4 GLEANN ARAS VIEW, GRENAGH, CORK",Cork,180000,Yes,No,Second-Hand Dwelling house /Apartment,"4 Gleann Aras View, Grenagh North, Grenagh, Co. Cork, T23 RH2T, Ireland"
2011-12-9,"Lissacarrow, Fuerty",Roscommon,150000,No,No,Second-Hand Dwelling house /Apartment,"Fuerty, Co. Roscommon, Ireland"
2016-10-11,"47 TRIOG MANOR, PORTLAOISE, LAOIS",Laois,120000,Yes,No,Second-Hand Dwelling house /Apartment,"47 Triogue Manor, Borris Little, Portlaoise, Co. Laois, R32 X5R3, Ireland"
2021-5-5,"80 Longview Avenue, Millers Glen, Swords",Dublin,400881,No,Yes,New Dwelling house /Apartment,"Longview Ave, Oldtown, Co. Dublin, Ireland"
2010-5-2,"Apartment 24, Green Park, Dundalk",Louth,387665,No,Yes,New Dwelling house /Apartment,"Dundalk, Co. Louth, Ireland"
2014-10-1,"3 Beverton Court, Donabate",Dublin,75000,No,No,Second-Hand Dwelling house /Apartment,"3 Beverton Ct, Ballalease West, Donabate, Co. Dublin, Ireland"
2021-5-2,"37 THE ELMS, LOUGH NA GLACK, CARRICKMACROSS",Monaghan,101321.59,No,Yes,New Dwelling house /Apartment,"Lough Naglack, Co. Monaghan, Ireland"
2017-7-20,"CASTLETOWN, TARA, CO MEATH",Meath,100000,Yes,No,Second-Hand Dwelling house /Apartment,"Castletown Tara, Co. Meath, Ireland"
2020-8-20,"17 KINCORA DR, CLONTARF, DUBLIN 3",Dublin,740000,No,No,Second-Hand Dwelling house /Apartment,"17 Kincora Dr, Clontarf, Dublin 3, D03 HP77, Ireland"
2013-2-28,"18 Saint Columbas Road, Greenhills, Dublin",Dublin,123750,Yes,No,Second-Hand Dwelling house /Apartment,"18 St Columba's Rd, Greenhills, Dublin 12, D12 R3K2, Ireland"
2018-3-29,"13 GRACES PARK, DERRINTORN, CARBURY",Kildare,218000,No,No,Second-Hand Dwelling house /Apartment,"13 Grace's Park, Dreenan, Derrinturn, Co. Kildare, W91 HX43, Ireland"
2014-10-7,"16 GRANVILLE RD, DUN LAOGHAIRE, DUBLIN",Dublin,515000,No,No,Second-Hand Dwelling house /Apartment,"16 Granville Rd, Glenageary, Dublin, A96 CX61, Ireland"
2020-3-11,"BALLINTUBBER, CLAREMORRIS, MAYO",Mayo,84000,Yes,No,Second-Hand Dwelling house /Apartment,"Clare, Claremorris, Co. Mayo, Ireland"
2018-5-6,"27 MELVILLE RISE, CITYSIDE, MEAKSTOWN DUBLIN 11",Dublin,155000,No,No,Second-Hand Dwelling house /Apartment,"27 Melville Rise, Meakstown, Dublin, Ireland"
2015-3-27,"10 ELM COURT, THE PARK, KILLARNEY",Kerry,172000,No,No,Second-Hand Dwelling house /Apartment,"Elm Ct, Killarney, Co. Kerry, Ireland"
2021-8-3,"4 BRENNANSTOWN AVE, CABINTEELY, DUBLIN 18",Dublin,700000,No,No,Second-Hand Dwelling house /Apartment,"4 Brennanstown Ave, Kilbogget, Cabinteely, Co. Dublin, D18 Y967, Ireland"
2014-10-17,"24 LIR PARK, CASTLEPOLLARD, WESTMEATH",Westmeath,110000,No,No,Second-Hand Dwelling house /Apartment,"24 Lir Park, Townparks, Castlepollard, Co. Westmeath, N91 E0V8, Ireland"
2013-10-31,"No 70, Friars Walk, Cork City",Cork,15000,No,No,Second-Hand Dwelling house /Apartment,"70 Friars Walk, Deerpark, Ballyphehane, Cork, T12 ECA3, Ireland"
2020-2-4,"6 SUMMERFIELDS, COBH, CO CORK",Cork,175000,No,No,Second-Hand Dwelling house /Apartment,"6 Summerfields, Ballyvoloon, Cobh, Co. Cork, P24 X851, Ireland"
2011-8-8,"44 Hermitage, Ennis",Clare,73500,No,No,Second-Hand Dwelling house /Apartment,"44 Hermitage, Cloughleigh, Ennis, Co. Clare, V95 E1WA, Ireland"
2015-2-12,"9 BROOKHURST, COLLINS AVE, DUNMORE RD",Waterford,230000,No,No,Second-Hand Dwelling house /Apartment,"Collins Avenue, Waterford, Ireland"
2019-7-25,"39 MILLRACE RD, PHEONIX PARK RACECOURSE, CASTLEKNOCK DUBLIN 15",Dublin,310000,No,No,Second-Hand Dwelling house /Apartment,"Millrace Rd, Pelletstown, Dublin, Ireland"
2016-2-17,"25 The Links, Elm Park, Merrion Road",Dublin,167117,No,No,Second-Hand Dwelling house /Apartment,"The Links, Elmpark, Merrion Rd, Dublin 4, Co. Dublin, Ireland"
2017-10-31,"5 KINVARA AVE, NAVAN RD, DUBLIN 7",Dublin,450000,No,No,Second-Hand Dwelling house /Apartment,"5 Kinvara Ave, Ashtown, Dublin 7, D07 R984, Ireland"
2019-9-17,"8 MAGENNIS SQ, MAGENNIS PLACE, DUBLIN 2",Dublin,316500,No,No,Second-Hand Dwelling house /Apartment,"8 Magennis Square, Dublin, Ireland"
2012-6-22,"28 Whitechurch Ave, Rathfarnham",Dublin,103000,No,No,Second-Hand Dwelling house /Apartment,"28 Whitechurch Ave, Ballyboden, Dublin 16, D16 AD79, Ireland"
2021-8-23,"13 RATH NA GLOINE, DROMISKIN, DUNDALK",Louth,213000,No,No,Second-Hand Dwelling house /Apartment,"Dromiskin, Co. Louth, Ireland"
2019-11-13,"DRUMCOLE, BELTURBET, CAVAN",Cavan,265000,No,No,Second-Hand Dwelling house /Apartment,"Drumcole, Co. Cavan, Ireland"
2019-3-14,"No. 32, The Corner Site, Fairfield",Kerry,96917,No,Yes,New Dwelling house /Apartment,"Fairfield, CT, USA"
2011-6-9,"22 Kincora Park, Clontarf",Dublin,685000,No,No,Second-Hand Dwelling house /Apartment,"22 Kincora Park, Clontarf, Dublin 3, D03 A316, Ireland"
2010-3-12,"Carrowcashel, Riverstown",Sligo,150000,No,No,Second-Hand Dwelling house /Apartment,
2018-6-25,"Bunker's Hill, Curracloe, County Wexford",Wexford,150000,No,Yes,New Dwelling house /Apartment,"Barnahask, Curracloe, Co. Wexford, Ireland"
2010-8-20,"42 Thornberry, Truskey West, Barna",Galway,200000,No,Yes,New Dwelling house /Apartment,"42 Thornberry, Trusky West, Barna, Co. Galway, H91 D155, Ireland"
2018-12-1,"23 HILLVIEW EST, DUNSHAUGHLIN, MEATH",Meath,150000,No,No,Second-Hand Dwelling house /Apartment,"23 Hillview Estate, Grangend, Dunshaughlin, Co. Meath, A85 RH96, Ireland"
2017-8-28,"26 KILQUADE HILL, KILQUADE, WICKLOW",Wicklow,685000,No,No,Second-Hand Dwelling house /Apartment,"26 Kilquade Hill, Kilquade, Co. Wicklow, A63 W898, Ireland"
2016-7-4,"APT 6, RAHENY WOOD, RAHENY RD DUBLIN 5",Dublin,162000,No,No,Second-Hand Dwelling house /Apartment,"Raheny Wood, Raheny Rd, Donaghmede, Dublin 5, Ireland"
2018-7-12,"ROSE COTTAGE, GLENADE, LEITRIM",Leitrim,45000,No,No,Second-Hand Dwelling house /Apartment,"Garvagh, Rose Cottage, Co. Leitrim, Ireland"
2012-9-17,"Baptistgrange, Lisronagh, Clonmel",Tipperary,185000,No,No,Second-Hand Dwelling house /Apartment,"Shanbally, Lisronagh, Co. Tipperary, Ireland"
2015-9-14,"7 LONGVIEW AVENUE, MILLERS GLEN, SWORDS",Dublin,246651.59,No,Yes,New Dwelling house /Apartment,"Longview Ave, Oldtown, Co. Dublin, Ireland"
2019-9-4,"FYANSTOWN, KELLS, COUNTY MEATH",Meath,155000,No,No,Second-Hand Dwelling house /Apartment,"Fyanstown, Co. Meath, Ireland"
2016-7-4,"18 HARBOUR COURT, GEORGES PLACE, DUN LAOGHAIRE",Dublin,460000,No,No,Second-Hand Dwelling house /Apartment,"George's Pl, Dún Laoghaire, Dublin, Ireland"
2012-7-6,"17 Carriglea Downs, Dun Laoghaire",Dublin,235000,No,No,Second-Hand Dwelling house /Apartment,"17 Carriglea Downs, Tallaght, Dublin 24, D24 A2R0, Ireland"
2016-12-8,"CASTLEROCHE, DUNDALK, CO LOUTH",Louth,51500,No,No,Second-Hand Dwelling house /Apartment,"Dundalk, Co. Louth, Ireland"
2018-5-14,"MAIN ST, TARBERT, CO KERRY",Kerry,35000,No,No,Second-Hand Dwelling house /Apartment,"Tieraclea Lower, Tarbert, Co. Kerry, Ireland"
2019-5-2,"4 KILLRAINEY HOUSE, CHURCH RD, MOYCULLEN",Galway,90000,No,No,Second-Hand Dwelling house /Apartment,"Apartment 2, Killrainey House, Church Rd, Ballycuirke West, Moycullen, Co. Galway, Ireland"
2017-1-20,"97 GREENFIELDS, ROSBRIEN, LIMERICK",Limerick,160000,No,No,Second-Hand Dwelling house /Apartment,"97 Greenfields, Rossbrien, Limerick, V94 EY6F, Ireland"
2020-1-15,"FIAN, TARMONSCROSS, WATERVILLE",Kerry,160000,No,No,Second-Hand Dwelling house /Apartment,
2016-8-12,"1 Barnwell Square West, Barnwell Square, Hansfield",Dublin,263777.54,No,Yes,New Dwelling house /Apartment,"1 Barnwell Square W, Hansfield, Dublin, D15 K6XC, Ireland"
2012-12-12,"33 Clifden Glen, Clifden, Co. Galway",Galway,59995,No,No,Second-Hand Dwelling house /Apartment,"33 Clifden Glen, Couravoughil, Clifden, Co. Galway, H71 EY95, Ireland"
2010-2-17,"195 Rusheeny Village, Clonsilla",Dublin,205000,No,No,Second-Hand Dwelling house /Apartment,"Clonsilla, Dublin, Ireland"
2021-3-2,"28 KNOCKAULIN DRIVE, FERBANE, COUNTY OFFALY",Offaly,160000,No,No,Second-Hand Dwelling house /Apartment,"28 Knockaulin Dr, Ferbane, Co. Offaly, R42 PX57, Ireland"
2015-12-11,"4 Maudlin Road, Kells",Meath,108000,No,No,Second-Hand Dwelling house /Apartment,"4 The Glebe, Maudlin Rd, Maudlin, Kells, Co. Meath, A82 P2N9, Ireland"
2018-7-3,"153 SALLINS BRIDGE, SALLINS, KILDARE",Kildare,370000,No,No,Second-Hand Dwelling house /Apartment,"153 Sallins Bridge, Sallins, Co. Kildare, W91 W2P9, Ireland"
2016-8-9,"22 RIVERSTOWN HOUSE, SPENCER DOCK, DUBLIN 1",Dublin,315000,No,No,Second-Hand Dwelling house /Apartment,"North Dock, Dublin, Co. Dublin, Ireland"
2021-5-18,"BALLINANIMA, KILFINANE, COUNTY LIMERICK",Limerick,178000,No,No,Second-Hand Dwelling house /Apartment,"Kilfinnane, Kilfinane, Co. Limerick, Ireland"
2018-12-19,"109 BEECHWOOD COURT, STILLORGAN RD, STILLORGAN",Dublin,400000,No,No,Second-Hand Dwelling house /Apartment,"109 Beechwood Ct, Galloping Green North, Dublin, A94 T262, Ireland"
2017-3-29,"131 AN CAISLEAN, BALLINCOLLIG, CORK",Cork,210000,No,No,Second-Hand Dwelling house /Apartment,"An Caisleán, Ballincollig, Co. Cork, Ireland"
2016-3-22,"51 BROOKLAWN, STRANDVILE AVE EAST, CLONTARF DUBLIN 3",Dublin,300000,No,No,Second-Hand Dwelling house /Apartment,"51 Brooklawn, Clontarf, Dublin, Ireland"
2015-7-8,"33 Castle Meadows, Skehard Road, CORK",Cork,227000,No,No,Second-Hand Dwelling house /Apartment,"33 Castle Meadows, Mahon, Cork, Ireland"
2015-9-30,"5 Mullawn Crescent, Tullow, County Carlow",Carlow,110000,No,Yes,New Dwelling house /Apartment,"5 Mullawn Cres, Templeowen, Tullow, Co. Carlow, R93 CT86, Ireland"
2012-11-28,"Apartment No. 5 The Green, Kensington Lodge, Rochestown Avenue  Dun Laoighaire",Dublin,154000,No,No,Second-Hand Dwelling house /Apartment,"Kensington Lodge, Rochestown Ave, Dún Laoghaire, Dublin, Ireland"
2016-4-25,"UNIT 39, CARRAIG ABHAINN, MORTARSTOWN RD",Carlow,65000,No,No,Second-Hand Dwelling house /Apartment,"39 Carraig Abhainn, Moanacurragh, Carlow, Ireland"
2020-10-29,"67 EVERGREEN RD, CORK, CORK",Cork,130000,No,No,Second-Hand Dwelling house /Apartment,"67 Evergreen Rd, Cork, Ireland"
2013-2-13,"52 The Brambles, Pontoon Road, Castlebar",Mayo,195000,No,No,Second-Hand Dwelling house /Apartment,"52 The Brambles, Castlebar, Co. Mayo, Ireland"
2017-10-3,"5 thorndale, delgany",Wicklow,427313,No,Yes,New Dwelling house /Apartment,"5 Thorndale, Delgany, Co. Wicklow, A63 FD62, Ireland"
2015-4-24,"47 CROYDON GREEN, MARINO, DUBLIN 3",Dublin,375000,No,No,Second-Hand Dwelling house /Apartment,"47 Croydon Green, Dublin 3, D03 W8N5, Ireland"
2016-4-22,"2 CAROLANS COURT & OTHER PROPERTIES, KILRONAN CASTLE, BALLYFARNON",Roscommon,960000,No,No,Second-Hand Dwelling house /Apartment,
2015-2-17,"THE COTTAGE, ARDAMINE, GOREY",Wexford,90000,No,No,Second-Hand Dwelling house /Apartment,"Glen (Richards), Ardamine, Co. Wexford, Ireland"
2015-11-25,"17  Monalin Hills, Newtownmountkennedy",Wicklow,237004.39,No,Yes,New Dwelling house /Apartment,"Kilmacullagh, Newtown Mount Kennedy, Co. Wicklow, Ireland"
2020-7-4,"NO 7 COLLEGE CLOSE, GRANBY ROW, CARLOW",Carlow,93052,No,No,Second-Hand Dwelling house /Apartment,"2, College Close, College Gardens, Carlow, Ireland"
2016-8-18,"CHAPEL ST, KILKEE, CLARE",Clare,205000,No,No,Second-Hand Dwelling house /Apartment,"Dough, Kilkee, Co. Clare, Ireland"
2011-6-23,"413 Carnlough Road, Cabra",Dublin,85525,Yes,No,Second-Hand Dwelling house /Apartment,"413 Carnlough Rd, Cabra West, Dublin 7, D07 KHX2, Ireland"
2015-2-17,"5 AN CRANNOG, MONAGHAN",Monaghan,170500,No,Yes,New Dwelling house /Apartment,"Monaghan, Ireland"
2012-9-8,"Oakwood, Redcross, Co. Wicklow",Wicklow,210000,No,No,Second-Hand Dwelling house /Apartment,"Oakwood, Kilmacrea, Co. Wicklow, Ireland"
2016-9-21,"26 TURVEY GROVE, DONABATE, DUBLIN",Dublin,150000,No,No,Second-Hand Dwelling house /Apartment,"26 Turvey Grove, Ballalease West, Donabate, Co. Dublin, K36 H678, Ireland"
2012-6-22,"2 Luttrellstown Walk, Castleknock",Dublin,225000,No,No,Second-Hand Dwelling house /Apartment,"2 Luttrellstown Walk, Carpenterstown, Dublin, D15 E9KN, Ireland"
2017-3-5,"15 MAPLE AVE, CASTLEKNOCK, DUBLIN 15",Dublin,475000,No,No,Second-Hand Dwelling house /Apartment,"15 Maple Ave, Carpenterstown, Dublin, D15 K4AC, Ireland"
2014-3-21,"KNOCKAVADDY, FURBO, CO. GALWAY",Galway,130000,No,No,Second-Hand Dwelling house /Apartment,"Stripe, Furbogh, Co. Galway, Ireland"
2019-6-8,"APT 57 THE CRESCENT, FORTFIELD SQUARE, TERENURE",Dublin,570000,No,No,Second-Hand Dwelling house /Apartment,"Fortfield Square, Terenure, Dublin, Ireland"
2014-3-26,"BOHERBOY, PAULSTOWN, CO KILKENNY",Kilkenny,35000,No,No,Second-Hand Dwelling house /Apartment,"Ballytarsna, Paulstown, Co. Kilkenny, Ireland"
2017-7-27,"APT 20 LAR NA CATHRACH, ABBEY TRINITY, TUAM",Galway,40000,No,No,Second-Hand Dwelling house /Apartment,"Lár Na Cathrach, 15 Abbey Trinity Rd, Corralea West, Tuam, Co. Galway, Ireland"
2016-8-10,"8, shantobar, ballinalee",Longford,44052,No,Yes,New Dwelling house /Apartment,"8 Shantobar, Gorteenrevagh, Ballinalee, Co. Longford, N39 A022, Ireland"
2018-1-2,"28 HANOVER DOCK, HANOVER QUAY, DUBLIN 2",Dublin,1500000,No,No,Second-Hand Dwelling house /Apartment,"Hanover Dock, Dublin Docklands, Dublin 2, Ireland"
2021-2-7,"16 ST JOHNS TERRACE, ORMOND ST, NENAGH",Tipperary,115000,No,No,Second-Hand Dwelling house /Apartment,"Saint John's Terrace, Ormond St, Nenagh North, Nenagh, Co. Tipperary, Ireland"
2021-11-25,"45 Maple Hill, Castle Heights, Carrigaline",Cork,262114.53,Yes,Yes,New Dwelling house /Apartment,"Maple Hill & Castle Heights, Kilmoney, Co. Cork, Ireland"
2015-6-2,"7 THE SQUARE, SKERRIES, CO DUBLIN",Dublin,200000,No,No,Second-Hand Dwelling house /Apartment,"7 The Square, Townparks, Skerries, Co. Dublin, K34 DH56, Ireland"
2020-3-6,"11 CHESTNUTWALK, KILMUCKRIDGE, GOREY",Wexford,162000,No,No,Second-Hand Dwelling house /Apartment,"11 Chestnut Walk, Cosher, Kilmuckridge, Co. Wexford, Y25 YR83, Ireland"
