Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
06/08/2021,"ABBEY ST, BALLINROBE, MAYO",,Mayo,"€125,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/02/2016,"1 MCDERMOTT MEWS, GARDEN ST, BALLINA",,Mayo,"€82,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/11/2015,"12 THE MEWS, RUSHBROOKE LINKS BALLYNOE, COBH",,Cork,"€90,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/12/2016,"INVER, BARNATRA, BALLINA",,Mayo,"€140,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/07/2014,"11 APARTMENT BLOCK, OXMANTOWN GREEN, BLACKHALL PLACE",,Dublin,"€197,885.00",No,No,Second-Hand Dwelling house /Apartment,
20/12/2016,"12 CABRA PARK, PHIBSBOROUGH, DUBLIN 7",Dublin 7,Dublin,"€402,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/03/2018,"14 ANNFIELD VIEW, CARPENTERSTOWN RD, CASTLEKNOCK DUBLIN 15",Dublin 15,Dublin,"€257,500.00",No,No,Second-Hand Dwelling house /Apartment,
04/02/2016,"13 SUMMERSEAT GREEN, CLONEE, CO.MEATH",,Meath,"€160,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
12/12/2018,"56 PEMBROKE LANE, DUBLIN 2, DUBLIN",Dublin 2,Dublin,"€600,000.00",No,No,Second-Hand Dwelling house /Apartment,
31/07/2014,"CARRICK LODGE, 13 CARRICK TERRACE, RIALTO",,Dublin,"€197,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/06/2014,"62 MOUNT PROSPECT DR, CLONTARF, DUBLIN 3",Dublin 3,Dublin,"€541,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/08/2011,"Crosstown, Wexford",,Wexford,"€260,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/07/2014,"29 Curragh Hall Green, Tyrellstown, Castleknock",Dublin 15,Dublin,"€151,900.00",No,No,Second-Hand Dwelling house /Apartment,
10/12/2018,"KILMAGLUSH, FENAGH RD, MYSHALL",,Carlow,"€300,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/04/2019,"10 SLIEVEKEILE RD, WATERFORD CITY, WATERFORD",,Waterford,"€90,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/09/2016,"146 ACHA BHILE, LAHINCH ROAD",,Clare,"€68,281.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
31/08/2015,"491, Collins Avenue, Whitehall",Dublin 9,Dublin,"€465,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/12/2020,"29 COILL AOIBHINN, NEWTOWN RD, WEXFORD",,Wexford,"€345,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/05/2018,"55 THE COTSWALDS, CASTLEREDMOND, MIDLETON",,Cork,"€310,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/12/2015,"42 RED ARCHES DR, THE COAST, BALDOYLE DUBLIN 13",Dublin 13,Dublin,"€225,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/01/2015,"33 ST BRENDANS COTTAGES, IRISHTOWN, DUBLIN 4",Dublin 4,Dublin,"€296,500.00",No,No,Second-Hand Dwelling house /Apartment,
27/09/2016,"3 Phelan Avenue, Royal Canal Park, Ashtown",Dublin 15,Dublin,"€308,400.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
18/12/2015,"49 RIVERWALK, MAIN ST, CASTLEREA",,Roscommon,"€20,500.00",No,No,Second-Hand Dwelling house /Apartment,
06/08/2014,"Apartment 19, The Reeks Gateway, Killarney",,Kerry,"€32,727.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
31/08/2012,"13 Martello Court, Portmarnock",,Dublin,"€400,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/08/2010,"No. 7 Arranmore View, Roshin Acres, Burtonport",,Donegal,"€133,762.11",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
12/02/2020,"17 SOMERTON PARK, BALLINLOUGH, CORK",,Cork,"€290,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/12/2020,"THE DIAMOND, CASTLEFIN, LIFFORD",,Donegal,"€67,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/05/2018,"38 St Edmunds Grove, Loman&#039;s Road",,Dublin,"€420,000.00",No,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
17/02/2016,"APT 26, ABBEY COURT, WEXFORD",,Wexford,"€113,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/12/2017,"2 CASTLE VILLAGE PARK, CELBRIDGE, KILDARE",,Kildare,"€305,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/03/2017,"34 FINN ST, DUBLIN 7, DUBLIN",Dublin 7,Dublin,"€255,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/05/2019,"58 FINLAY PARK, OLD CARRAGH ROAD, NAAS",,Kildare,"€348,017.00",No,Yes,New Dwelling house /Apartment,
24/09/2012,"1 Lambourne Village, Clontarf",,Dublin,"€140,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/04/2021,"304 CUBES 3, BEACON SOUTH QUARTER, BLACKTHORN RD",Dublin 18,Dublin,"€383,500.00",No,No,Second-Hand Dwelling house /Apartment,
08/09/2020,"29 TI NA RI, ATHENRY RD, LOUGHREA",,Galway,"€262,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/11/2020,"4 DRISARDEN, GORTLEE, LETTERKENNY",,Donegal,"€125,000.00",No,No,Second-Hand Dwelling house /Apartment,
31/10/2017,"8 CARRICK CRESCENT, BALLYBOFEY, DONEGAL",,Donegal,"€120,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
06/09/2013,"RAHEEN, BANTRY",,Cork,"€119,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/01/2013,"18 Glen Corrin, Watergrasshill, Cork",,Cork,"€150,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
26/10/2018,"38 ROSSANA CLOSE, ASHFORD, WICKLOW",,Wicklow,"€38,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
19/01/2016,"4 GLEANN ARAS VIEW, GRENAGH, CORK",,Cork,"€180,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
12/09/2011,"Lissacarrow, Fuerty",,Roscommon,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/11/2016,"47 TRIOG MANOR, PORTLAOISE, LAOIS",,Laois,"€120,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
05/05/2021,"80 Longview Avenue, Millers Glen, Swords",,Dublin,"€400,881.00",No,Yes,New Dwelling house /Apartment,
05/02/2010,"Apartment 24, Green Park, Dundalk",,Louth,"€387,665.00",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
10/01/2014,"3 Beverton Court, Donabate",,Dublin,"€75,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/02/2021,"37 THE ELMS, LOUGH NA GLACK, CARRICKMACROSS",,Monaghan,"€101,321.59",No,Yes,New Dwelling house /Apartment,
20/07/2017,"CASTLETOWN, TARA, CO MEATH",,Meath,"€100,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
20/08/2020,"17 KINCORA DR, CLONTARF, DUBLIN 3",Dublin 3,Dublin,"€740,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/02/2013,"18 Saint Columbas Road, Greenhills, Dublin",Dublin 12,Dublin,"€123,750.00",Yes,No,Second-Hand Dwelling house /Apartment,
29/03/2018,"13 GRACES PARK, DERRINTORN, CARBURY",,Kildare,"€218,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/07/2014,"16 GRANVILLE RD, DUN LAOGHAIRE, DUBLIN",,Dublin,"€515,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/11/2020,"BALLINTUBBER, CLAREMORRIS, MAYO",,Mayo,"€84,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
05/06/2018,"27 MELVILLE RISE, CITYSIDE, MEAKSTOWN DUBLIN 11",Dublin 11,Dublin,"€155,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/03/2015,"10 ELM COURT, THE PARK, KILLARNEY",,Kerry,"€172,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/03/2021,"4 BRENNANSTOWN AVE, CABINTEELY, DUBLIN 18",Dublin 18,Dublin,"€700,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/10/2014,"24 LIR PARK, CASTLEPOLLARD, WESTMEATH",,Westmeath,"€110,000.00",No,No,Second-Hand Dwelling house /Apartment,
31/10/2013,"No 70, Friars Walk, Cork City",,Cork,"€15,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/04/2020,"6 SUMMERFIELDS, COBH, CO CORK",,Cork,"€175,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/08/2011,"44 Hermitage, Ennis",,Clare,"€73,500.00",No,No,Second-Hand Dwelling house /Apartment,
02/12/2015,"9 BROOKHURST, COLLINS AVE, DUNMORE RD",,Waterford,"€230,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/07/2019,"39 MILLRACE RD, PHEONIX PARK RACECOURSE, CASTLEKNOCK DUBLIN 15",Dublin 15,Dublin,"€310,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/02/2016,"25 The Links, Elm Park, Merrion Road",Dublin 4,Dublin,"€167,117.00",No,No,Second-Hand Dwelling house /Apartment,
31/10/2017,"5 KINVARA AVE, NAVAN RD, DUBLIN 7",Dublin 7,Dublin,"€450,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/09/2019,"8 MAGENNIS SQ, MAGENNIS PLACE, DUBLIN 2",Dublin 2,Dublin,"€316,500.00",No,No,Second-Hand Dwelling house /Apartment,
22/06/2012,"28 Whitechurch Ave, Rathfarnham",Dublin 14,Dublin,"€103,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/08/2021,"13 RATH NA GLOINE, DROMISKIN, DUNDALK",,Louth,"€213,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/11/2019,"DRUMCOLE, BELTURBET, CAVAN",,Cavan,"€265,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/03/2019,"No. 32, The Corner Site, Fairfield",,Kerry,"€96,917.00",No,Yes,New Dwelling house /Apartment,
06/09/2011,"22 Kincora Park, Clontarf",Dublin 3,Dublin,"€685,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/12/2010,"Carrowcashel, Riverstown",,Sligo,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/06/2018,"Bunker's Hill, Curracloe, County Wexford",,Wexford,"€150,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
20/08/2010,"42 Thornberry, Truskey West, Barna",,Galway,"€200,000.00",No,Yes,New Dwelling house /Apartment,less than 38 sq metres
12/01/2018,"23 HILLVIEW EST, DUNSHAUGHLIN, MEATH",,Meath,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/08/2017,"26 KILQUADE HILL, KILQUADE, WICKLOW",,Wicklow,"€685,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/04/2016,"APT 6, RAHENY WOOD, RAHENY RD DUBLIN 5",Dublin 5,Dublin,"€162,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/12/2018,"ROSE COTTAGE, GLENADE, LEITRIM",,Leitrim,"€45,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/09/2012,"Baptistgrange, Lisronagh, Clonmel",,Tipperary,"€185,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/09/2015,"7 LONGVIEW AVENUE, MILLERS GLEN, SWORDS",,Dublin,"€246,651.59",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
09/04/2019,"FYANSTOWN, KELLS, COUNTY MEATH",,Meath,"€155,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/04/2016,"18 HARBOUR COURT, GEORGES PLACE, DUN LAOGHAIRE",,Dublin,"€460,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/06/2012,"17 Carriglea Downs, Dun Laoghaire",,Dublin,"€235,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/08/2016,"CASTLEROCHE, DUNDALK, CO LOUTH",,Louth,"€51,500.00",No,No,Second-Hand Dwelling house /Apartment,
14/05/2018,"MAIN ST, TARBERT, CO KERRY",,Kerry,"€35,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/02/2019,"4 KILLRAINEY HOUSE, CHURCH RD, MOYCULLEN",,Galway,"€90,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/01/2017,"97 GREENFIELDS, ROSBRIEN, LIMERICK",,Limerick,"€160,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/01/2020,"FIAN, TARMONSCROSS, WATERVILLE",,Kerry,"€160,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/12/2016,"1 Barnwell Square West, Barnwell Square, Hansfield",Dublin 15,Dublin,"€263,777.54",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
12/12/2012,"33 Clifden Glen, Clifden, Co. Galway",,Galway,"€59,995.00",No,No,Second-Hand Dwelling house /Apartment,
17/02/2010,"195 Rusheeny Village, Clonsilla",,Dublin,"€205,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/02/2021,"28 KNOCKAULIN DRIVE, FERBANE, COUNTY OFFALY",,Offaly,"€160,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/11/2015,"4 Maudlin Road, Kells",,Meath,"€108,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/03/2018,"153 SALLINS BRIDGE, SALLINS, KILDARE",,Kildare,"€370,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/09/2016,"22 RIVERSTOWN HOUSE, SPENCER DOCK, DUBLIN 1",Dublin 1,Dublin,"€315,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/05/2021,"BALLINANIMA, KILFINANE, COUNTY LIMERICK",,Limerick,"€178,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/12/2018,"109 BEECHWOOD COURT, STILLORGAN RD, STILLORGAN",,Dublin,"€400,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/03/2017,"131 AN CAISLEAN, BALLINCOLLIG, CORK",,Cork,"€210,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/03/2016,"51 BROOKLAWN, STRANDVILE AVE EAST, CLONTARF DUBLIN 3",Dublin 3,Dublin,"€300,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/08/2015,"33 Castle Meadows, Skehard Road, CORK",,Cork,"€227,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/09/2015,"5 Mullawn Crescent, Tullow, County Carlow",,Carlow,"€110,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
28/11/2012,"Apartment No. 5 The Green, Kensington Lodge, Rochestown Avenue  Dun Laoighaire",,Dublin,"€154,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/04/2016,"UNIT 39, CARRAIG ABHAINN, MORTARSTOWN RD",,Carlow,"€65,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/10/2020,"67 EVERGREEN RD, CORK, CORK",,Cork,"€130,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/02/2013,"52 The Brambles, Pontoon Road, Castlebar",,Mayo,"€195,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/03/2017,"5 thorndale, delgany",,Wicklow,"€427,313.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
24/04/2015,"47 CROYDON GREEN, MARINO, DUBLIN 3",Dublin 3,Dublin,"€375,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/04/2016,"2 CAROLANS COURT & OTHER PROPERTIES, KILRONAN CASTLE, BALLYFARNON",,Roscommon,"€960,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/02/2015,"THE COTTAGE, ARDAMINE, GOREY",,Wexford,"€90,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/11/2015,"17  Monalin Hills, Newtownmountkennedy",,Wicklow,"€237,004.39",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
07/04/2020,"NO 7 COLLEGE CLOSE, GRANBY ROW, CARLOW",,Carlow,"€93,052.00",No,No,Second-Hand Dwelling house /Apartment,
18/08/2016,"CHAPEL ST, KILKEE, CLARE",,Clare,"€205,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/06/2011,"413 Carnlough Road, Cabra",Dublin 7,Dublin,"€85,525.00",Yes,No,Second-Hand Dwelling house /Apartment,
17/02/2015,"5 AN CRANNOG, MONAGHAN",,Monaghan,"€170,500.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
09/08/2012,"Oakwood, Redcross, Co. Wicklow",,Wicklow,"€210,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/09/2016,"26 TURVEY GROVE, DONABATE, DUBLIN",,Dublin,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/06/2012,"2 Luttrellstown Walk, Castleknock",,Dublin,"€225,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/05/2017,"15 MAPLE AVE, CASTLEKNOCK, DUBLIN 15",Dublin 15,Dublin,"€475,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/03/2014,"KNOCKAVADDY, FURBO, CO. GALWAY",,Galway,"€130,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/08/2019,"APT 57 THE CRESCENT, FORTFIELD SQUARE, TERENURE",,Dublin,"€570,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/03/2014,"BOHERBOY, PAULSTOWN, CO KILKENNY",,Kilkenny,"€35,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/07/2017,"APT 20 LAR NA CATHRACH, ABBEY TRINITY, TUAM",,Galway,"€40,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/10/2016,"8, shantobar, ballinalee",,Longford,"€44,052.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
01/02/2018,"28 HANOVER DOCK, HANOVER QUAY, DUBLIN 2",Dublin 2,Dublin,"€1,500,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/07/2021,"16 ST JOHNS TERRACE, ORMOND ST, NENAGH",,Tipperary,"€115,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/11/2021,"45 Maple Hill, Castle Heights, Carrigaline",,Cork,"€262,114.53",Yes,Yes,New Dwelling house /Apartment,
06/02/2015,"7 THE SQUARE, SKERRIES, CO DUBLIN",,Dublin,"€200,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/06/2020,"11 CHESTNUTWALK, KILMUCKRIDGE, GOREY",,Wexford,"€162,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/09/2015,"7A Flaxmill Court, Flaxmill Lane, Drogheda",,Meath,"€58,545.46",No,No,Second-Hand Dwelling house /Apartment,
17/02/2015,"5 Prior Park Terrace, Clonmel",,Tipperary,"€105,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/06/2020,"11 Church Green, Ballinglanna, Glanmire",,Cork,"€334,801.00",No,Yes,New Dwelling house /Apartment,
25/07/2018,"7 TEMPLE MANOR GROVE, GREENHILLS, DUBLIN 12",Dublin 12,Dublin,"€421,500.00",No,No,Second-Hand Dwelling house /Apartment,
17/12/2014,"73 Preston Brook, Rathangan, Co Kildare",,Kildare,"€120,704.84",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
23/07/2014,"DUNWORLEY, TIMOLEAGUE",,Cork,"€215,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/05/2017,"18 AVONDALE HALL, 151 PARNELL ST, DUBLIN 1",Dublin 1,Dublin,"€150,500.00",No,No,Second-Hand Dwelling house /Apartment,
13/09/2021,"22 TULLYVARRAGA CRESENT, SHANNON, CLARE",,Clare,"€255,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/07/2018,"LECARROW, KNOCKROE, CROGHAN BOYLE",,Roscommon,"€171,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/12/2014,"LAMBSTOWN, GLYNN, WEXFORD",,Wexford,"€160,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/12/2020,"DROMCLOGH EAST, BANTRY, CORK",,Cork,"€285,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/05/2021,"54 CLONARD ST, BALBRIGGAN, DUBLIN",,Dublin,"€215,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/03/2019,"CUILTYBOE, LOUGHLYNN, CASTLEREA",,Roscommon,"€68,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/11/2021,"4 EDEN PARK AVE, DUBLIN 14, DUBLIN",Dublin 14,Dublin,"€640,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/06/2012,"7 Ard Glas, Ferbane",,Offaly,"€132,500.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
16/03/2018,"APT 142, 109 PARNELL ST, DUBLIN 1",Dublin 1,Dublin,"€185,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/02/2017,"25 CEDARWOOD DR CASTLEHEIGHTS, KILMONEY RD, CARRIGALINE",,Cork,"€211,538.46",No,No,Second-Hand Dwelling house /Apartment,
23/07/2014,"16 KEEPER RD, DRIMNAGH, DUBLIN 12",Dublin 12,Dublin,"€260,000.00",No,No,Second-Hand Dwelling house /Apartment,
31/05/2011,"10 Beechpark Wood, Leixip",,Kildare,"€110,132.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
28/06/2013,"Tullaghboy, Connolly",,Clare,"€9,190.00",No,No,Second-Hand Dwelling house /Apartment,
17/06/2019,"14 CUIRT EANNA, LONG WALK, GALWAY",,Galway,"€300,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/08/2021,"16 CLUAIN FRAOIGH, LANESBOROUGH ROAD, ROSCOMMON",,Roscommon,"€166,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/07/2016,"75 CLONLEA, MOUNT OVAL VILLAGE, ROCHESTOWN RD",,Cork,"€222,500.00",No,No,Second-Hand Dwelling house /Apartment,
07/10/2015,"4 LANGFIELD, DUBLIN ROAD, DUNDALK",,Louth,"€110,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/11/2014,"KILFINANE RD, BALLYORGAN, LIMERICK",,Limerick,"€160,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/11/2017,"24 GLENCAIRN WALK, SANDYFORD, DUBLIN 18",Dublin 18,Dublin,"€530,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/03/2021,"65 STEEPLECHASE COURT, RATOATH, MEATH",,Meath,"€210,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/10/2012,"7 Tir Eda, Tobarteascain, Ennis",,Clare,"€105,000.00",No,No,Second-Hand Dwelling house /Apartment,
31/03/2016,"21 Mount Eagle Court, Leopardstown Heights, Dublin 18",Dublin 18,Dublin,"€585,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/01/2016,"7 THE ELM COURTYARD, BELLVIEW WOODS, BALLYDOWNY",,Kerry,"€165,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/05/2018,"COPPER BEECH COTTAGE, BALLINAHOUN, FERMOY",,Cork,"€80,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/11/2017,"1 ASHE WAY, KNOCKSEDAN DEMENSE, SWORDS",,Dublin,"€392,070.48",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
13/11/2018,"GORTGARRA, ARRANMORE ISLAND, CO DONEGAL",,Donegal,"€77,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/07/2018,"2 SOUTHVILLE GARDENS, BALLINACURRA, LIMERICK",,Limerick,"€240,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/02/2018,"1 LOWER PRINCE EDWARD TCE, BLACKROCK, DUBLIN",,Dublin,"€1,840,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/01/2019,"19 CARTRUN BREAC, LISBRACK, LONGFORD",,Longford,"€37,250.00",No,No,Second-Hand Dwelling house /Apartment,
08/12/2014,"17 WOODLANDS VALE, ARKLOW, WICKLOW",,Wicklow,"€103,500.00",No,No,Second-Hand Dwelling house /Apartment,
16/02/2011,"Churchtown, Newcastlewest",,Limerick,"€137,160.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
20/01/2012,"12 Old Cross Square, Monaghan",,Monaghan,"€80,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/08/2018,"30 St. Helen's Drive, St. Helen's, Adamstown",,Dublin,"€325,991.18",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
28/04/2016,"49 Sion Hill Park, Drumcondra",,Dublin,"€519,823.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
