DateofSale,Address,PostalCode,County,Price,NotFullMarketPrice,VATExclusive,DescriptionofProperty,PropertySizeDescription,lat,lng,address_types,YearMonth
2013-1-30,"18 Glen Corrin, Watergrasshill, Cork",,Cork,150000,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,52.0166368,-8.3396932,establishment-point_of_interest,201301
2018-10-26,"38 ROSSANA CLOSE, ASHFORD, WICKLOW",,Wicklow,38000,Yes,No,Second-Hand Dwelling house /Apartment,,53.0032685,-6.108809,street_address,201810
2016-1-19,"4 GLEANN ARAS VIEW, GRENAGH, CORK",,Cork,180000,Yes,No,Second-Hand Dwelling house /Apartment,,52.0115142,-8.6082199,street_address,201601
2011-12-9,"Lissacarrow, Fuerty",,Roscommon,150000,No,No,Second-Hand Dwelling house /Apartment,,53.6131024,-8.2591228,neighborhood-political,201112
2016-10-11,"47 TRIOG MANOR, PORTLAOISE, LAOIS",,Laois,120000,Yes,No,Second-Hand Dwelling house /Apartment,,53.0426907,-7.304625,street_address,201610
2021-5-5,"80 Longview Avenue, Millers Glen, Swords",,Dublin,400881,No,Yes,New Dwelling house /Apartment,,53.4716715,-6.2427219,establishment-point_of_interest,202105
2010-5-2,"Apartment 24, Green Park, Dundalk",,Louth,387665,No,Yes,New Dwelling house /Apartment,greater than 125 sq metres,53.9979451,-6.405957,locality-political,201005
2014-10-1,"3 Beverton Court, Donabate",,Dublin,75000,No,No,Second-Hand Dwelling house /Apartment,,53.4879216,-6.1586016,street_address,201410
2021-5-2,"37 THE ELMS, LOUGH NA GLACK, CARRICKMACROSS",,Monaghan,101321.59,No,Yes,New Dwelling house /Apartment,,53.9667257,-6.6991436,establishment-natural_feature,202105
2017-7-20,"CASTLETOWN, TARA, CO MEATH",,Meath,100000,Yes,No,Second-Hand Dwelling house /Apartment,,53.5893117,-6.6326481,neighborhood-political,201707
2020-8-20,"17 KINCORA DR, CLONTARF, DUBLIN 3",Dublin 3,Dublin,740000,No,No,Second-Hand Dwelling house /Apartment,,53.3644442,-6.2100901,street_address,202008
2013-2-28,"18 Saint Columbas Road, Greenhills, Dublin",Dublin 12,Dublin,123750,Yes,No,Second-Hand Dwelling house /Apartment,,53.3116835,-6.3396464,street_address,201302
2018-3-29,"13 GRACES PARK, DERRINTORN, CARBURY",,Kildare,218000,No,No,Second-Hand Dwelling house /Apartment,,53.3369091,-6.9331613,street_address,201803
2014-10-7,"16 GRANVILLE RD, DUN LAOGHAIRE, DUBLIN",,Dublin,515000,No,No,Second-Hand Dwelling house /Apartment,,53.2638765,-6.1446243,street_address,201410
2020-3-11,"BALLINTUBBER, CLAREMORRIS, MAYO",,Mayo,84000,Yes,No,Second-Hand Dwelling house /Apartment,,53.7238764,-9.0017356,locality-political,202003
2018-5-6,"27 MELVILLE RISE, CITYSIDE, MEAKSTOWN DUBLIN 11",Dublin 11,Dublin,155000,No,No,Second-Hand Dwelling house /Apartment,,53.4027159,-6.2986397,street_address,201805
2015-3-27,"10 ELM COURT, THE PARK, KILLARNEY",,Kerry,172000,No,No,Second-Hand Dwelling house /Apartment,,52.06416,-9.491131,route,201503
2021-8-3,"4 BRENNANSTOWN AVE, CABINTEELY, DUBLIN 18",Dublin 18,Dublin,700000,No,No,Second-Hand Dwelling house /Apartment,,53.2573908,-6.1503517,street_address,202108
2014-10-17,"24 LIR PARK, CASTLEPOLLARD, WESTMEATH",,Westmeath,110000,No,No,Second-Hand Dwelling house /Apartment,,53.6808188,-7.2876937,street_address,201410
2013-10-31,"No 70, Friars Walk, Cork City",,Cork,15000,No,No,Second-Hand Dwelling house /Apartment,,51.8889486,-8.4793477,street_address,201310
2020-2-4,"6 SUMMERFIELDS, COBH, CO CORK",,Cork,175000,No,No,Second-Hand Dwelling house /Apartment,,51.8527831,-8.3046654,street_address,202002
2011-8-8,"44 Hermitage, Ennis",,Clare,73500,No,No,Second-Hand Dwelling house /Apartment,,52.8452045,-8.9918916,street_address,201108
2015-2-12,"9 BROOKHURST, COLLINS AVE, DUNMORE RD",,Waterford,230000,No,No,Second-Hand Dwelling house /Apartment,,52.2402585,-7.0745143,political-sublocality-sublocality_level_1,201502
2019-7-25,"39 MILLRACE RD, PHEONIX PARK RACECOURSE, CASTLEKNOCK DUBLIN 15",Dublin 15,Dublin,310000,No,No,Second-Hand Dwelling house /Apartment,,53.3727231,-6.3360501,route,201907
2016-2-17,"25 The Links, Elm Park, Merrion Road",Dublin 4,Dublin,167117,No,No,Second-Hand Dwelling house /Apartment,,53.3138802,-6.2074079,establishment-point_of_interest,201602
2017-10-31,"5 KINVARA AVE, NAVAN RD, DUBLIN 7",Dublin 7,Dublin,450000,No,No,Second-Hand Dwelling house /Apartment,,53.3691501,-6.3176884,street_address,201710
2019-9-17,"8 MAGENNIS SQ, MAGENNIS PLACE, DUBLIN 2",Dublin 2,Dublin,316500,No,No,Second-Hand Dwelling house /Apartment,,53.34499,-6.2480366,street_address,201909
2012-6-22,"28 Whitechurch Ave, Rathfarnham",Dublin 14,Dublin,103000,No,No,Second-Hand Dwelling house /Apartment,,53.2778362,-6.2911493,street_address,201206
2021-8-23,"13 RATH NA GLOINE, DROMISKIN, DUNDALK",,Louth,213000,No,No,Second-Hand Dwelling house /Apartment,,53.9217123,-6.4010092,locality-political,202108
2019-11-13,"DRUMCOLE, BELTURBET, CAVAN",,Cavan,265000,No,No,Second-Hand Dwelling house /Apartment,,54.1071201,-7.4766748,neighborhood-political,201911
2019-3-14,"No. 32, The Corner Site, Fairfield",,Kerry,96917,No,Yes,New Dwelling house /Apartment,,41.1408363,-73.2612615,locality-political,201903
2011-6-9,"22 Kincora Park, Clontarf",Dublin 3,Dublin,685000,No,No,Second-Hand Dwelling house /Apartment,,53.3613217,-6.2002292,street_address,201106
2010-3-12,"Carrowcashel, Riverstown",,Sligo,150000,No,No,Second-Hand Dwelling house /Apartment,,52.82247364,-7.74485287,,201003
2018-6-25,"Bunker's Hill, Curracloe, County Wexford",,Wexford,150000,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,52.3931816,-6.3921174,locality-political,201806
2010-8-20,"42 Thornberry, Truskey West, Barna",,Galway,200000,No,Yes,New Dwelling house /Apartment,less than 38 sq metres,53.2534352,-9.1556726,street_address,201008
2018-12-1,"23 HILLVIEW EST, DUNSHAUGHLIN, MEATH",,Meath,150000,No,No,Second-Hand Dwelling house /Apartment,,53.516827,-6.5416325,street_address,201812
2017-8-28,"26 KILQUADE HILL, KILQUADE, WICKLOW",,Wicklow,685000,No,No,Second-Hand Dwelling house /Apartment,,53.1001559,-6.084816,street_address,201708
2016-7-4,"APT 6, RAHENY WOOD, RAHENY RD DUBLIN 5",Dublin 5,Dublin,162000,No,No,Second-Hand Dwelling house /Apartment,,53.3835247,-6.1772181,premise,201607
2018-7-12,"ROSE COTTAGE, GLENADE, LEITRIM",,Leitrim,45000,No,No,Second-Hand Dwelling house /Apartment,,54.16593,-8.26903,locality-political,201807
2012-9-17,"Baptistgrange, Lisronagh, Clonmel",,Tipperary,185000,No,No,Second-Hand Dwelling house /Apartment,,52.417443,-7.7028889,locality-political,201209
2015-9-14,"7 LONGVIEW AVENUE, MILLERS GLEN, SWORDS",,Dublin,246651.59,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,53.4716715,-6.2427219,establishment-point_of_interest,201509
2019-9-4,"FYANSTOWN, KELLS, COUNTY MEATH",,Meath,155000,No,No,Second-Hand Dwelling house /Apartment,,53.7232055,-6.8188456,neighborhood-political,201909
2016-7-4,"18 HARBOUR COURT, GEORGES PLACE, DUN LAOGHAIRE",,Dublin,460000,No,No,Second-Hand Dwelling house /Apartment,,53.2947752,-6.1393464,route,201607
2012-7-6,"17 Carriglea Downs, Dun Laoghaire",,Dublin,235000,No,No,Second-Hand Dwelling house /Apartment,,53.2776227,-6.3402862,street_address,201207
2016-12-8,"CASTLEROCHE, DUNDALK, CO LOUTH",,Louth,51500,No,No,Second-Hand Dwelling house /Apartment,,53.9979451,-6.405957,locality-political,201612
2018-5-14,"MAIN ST, TARBERT, CO KERRY",,Kerry,35000,No,No,Second-Hand Dwelling house /Apartment,,52.5725966,-9.3751312,locality-political,201805
2019-5-2,"4 KILLRAINEY HOUSE, CHURCH RD, MOYCULLEN",,Galway,90000,No,No,Second-Hand Dwelling house /Apartment,,53.3410993,-9.1759725,premise,201905
2017-1-20,"97 GREENFIELDS, ROSBRIEN, LIMERICK",,Limerick,160000,No,No,Second-Hand Dwelling house /Apartment,,52.6469838,-8.6332899,street_address,201701
2020-1-15,"FIAN, TARMONSCROSS, WATERVILLE",,Kerry,160000,No,No,Second-Hand Dwelling house /Apartment,,52.82247364,-7.74485287,,202001
2016-8-12,"1 Barnwell Square West, Barnwell Square, Hansfield",Dublin 15,Dublin,263777.54,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,53.3916459,-6.4435736,street_address,201608
2012-12-12,"33 Clifden Glen, Clifden, Co. Galway",,Galway,59995,No,No,Second-Hand Dwelling house /Apartment,,53.4879208,-9.9842488,street_address,201212
2010-2-17,"195 Rusheeny Village, Clonsilla",,Dublin,205000,No,No,Second-Hand Dwelling house /Apartment,,53.3868977,-6.4244504,neighborhood-political,201002
2021-3-2,"28 KNOCKAULIN DRIVE, FERBANE, COUNTY OFFALY",,Offaly,160000,No,No,Second-Hand Dwelling house /Apartment,,53.2769212,-7.829811,premise,202103
2015-12-11,"4 Maudlin Road, Kells",,Meath,108000,No,No,Second-Hand Dwelling house /Apartment,,53.7318041,-6.8732367,street_address,201512
2018-7-3,"153 SALLINS BRIDGE, SALLINS, KILDARE",,Kildare,370000,No,No,Second-Hand Dwelling house /Apartment,,53.2508061,-6.6632402,street_address,201807
2016-8-9,"22 RIVERSTOWN HOUSE, SPENCER DOCK, DUBLIN 1",Dublin 1,Dublin,315000,No,No,Second-Hand Dwelling house /Apartment,,53.3499576,-6.2379825,establishment-point_of_interest,201608
2021-5-18,"BALLINANIMA, KILFINANE, COUNTY LIMERICK",,Limerick,178000,No,No,Second-Hand Dwelling house /Apartment,,52.3586898,-8.4672787,locality-political,202105
2018-12-19,"109 BEECHWOOD COURT, STILLORGAN RD, STILLORGAN",,Dublin,400000,No,No,Second-Hand Dwelling house /Apartment,,53.2813387,-6.1912257,street_address,201812
2017-3-29,"131 AN CAISLEAN, BALLINCOLLIG, CORK",,Cork,210000,No,No,Second-Hand Dwelling house /Apartment,,51.8841976,-8.6047483,political-sublocality-sublocality_level_1,201703
2016-3-22,"51 BROOKLAWN, STRANDVILE AVE EAST, CLONTARF DUBLIN 3",Dublin 3,Dublin,300000,No,No,Second-Hand Dwelling house /Apartment,,53.3654616,-6.2191449,street_address,201603
2015-7-8,"33 Castle Meadows, Skehard Road, CORK",,Cork,227000,No,No,Second-Hand Dwelling house /Apartment,,51.8920274,-8.3965072,street_address,201507
2015-9-30,"5 Mullawn Crescent, Tullow, County Carlow",,Carlow,110000,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,52.7978184,-6.7323992,street_address,201509
2012-11-28,"Apartment No. 5 The Green, Kensington Lodge, Rochestown Avenue  Dun Laoighaire",,Dublin,154000,No,No,Second-Hand Dwelling house /Apartment,,53.2780899,-6.1535517,premise,201211
2016-4-25,"UNIT 39, CARRAIG ABHAINN, MORTARSTOWN RD",,Carlow,65000,No,No,Second-Hand Dwelling house /Apartment,,52.8252731,-6.9383581,street_address,201604
2020-10-29,"67 EVERGREEN RD, CORK, CORK",,Cork,130000,No,No,Second-Hand Dwelling house /Apartment,,51.8903484,-8.4705201,street_address,202010
2013-2-13,"52 The Brambles, Pontoon Road, Castlebar",,Mayo,195000,No,No,Second-Hand Dwelling house /Apartment,,53.8674958,-9.2931394,street_address,201302
2017-10-3,"5 thorndale, delgany",,Wicklow,427313,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,53.134942,-6.0890809,street_address,201710
2015-4-24,"47 CROYDON GREEN, MARINO, DUBLIN 3",Dublin 3,Dublin,375000,No,No,Second-Hand Dwelling house /Apartment,,53.3669509,-6.2372236,street_address,201504
2016-4-22,"2 CAROLANS COURT & OTHER PROPERTIES, KILRONAN CASTLE, BALLYFARNON",,Roscommon,960000,No,No,Second-Hand Dwelling house /Apartment,,52.82247364,-7.74485287,,201604
2015-2-17,"THE COTTAGE, ARDAMINE, GOREY",,Wexford,90000,No,No,Second-Hand Dwelling house /Apartment,,52.61825,-6.22902,locality-political,201502
2015-11-25,"17  Monalin Hills, Newtownmountkennedy",,Wicklow,237004.39,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,53.0927815,-6.112023,locality-political,201511
2020-7-4,"NO 7 COLLEGE CLOSE, GRANBY ROW, CARLOW",,Carlow,93052,No,No,Second-Hand Dwelling house /Apartment,,52.8305439,-6.9312808,premise,202007
2016-8-18,"CHAPEL ST, KILKEE, CLARE",,Clare,205000,No,No,Second-Hand Dwelling house /Apartment,,52.6828228,-9.6444116,locality-political,201608
2011-6-23,"413 Carnlough Road, Cabra",Dublin 7,Dublin,85525,Yes,No,Second-Hand Dwelling house /Apartment,,53.3698008,-6.297153,street_address,201106
2015-2-17,"5 AN CRANNOG, MONAGHAN",,Monaghan,170500,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,54.2492434,-6.9683082,locality-political,201502
2012-9-8,"Oakwood, Redcross, Co. Wicklow",,Wicklow,210000,No,No,Second-Hand Dwelling house /Apartment,,52.8992102,-6.1731727,political-sublocality-sublocality_level_1,201209
2016-9-21,"26 TURVEY GROVE, DONABATE, DUBLIN",,Dublin,150000,No,No,Second-Hand Dwelling house /Apartment,,53.4867398,-6.1545098,street_address,201609
2012-6-22,"2 Luttrellstown Walk, Castleknock",,Dublin,225000,No,No,Second-Hand Dwelling house /Apartment,,53.3688263,-6.3931508,street_address,201206
2017-3-5,"15 MAPLE AVE, CASTLEKNOCK, DUBLIN 15",Dublin 15,Dublin,475000,No,No,Second-Hand Dwelling house /Apartment,,53.3784234,-6.3841563,street_address,201703
2014-3-21,"KNOCKAVADDY, FURBO, CO. GALWAY",,Galway,130000,No,No,Second-Hand Dwelling house /Apartment,,53.24918,-9.20495,locality-political,201403
2019-6-8,"APT 57 THE CRESCENT, FORTFIELD SQUARE, TERENURE",,Dublin,570000,No,No,Second-Hand Dwelling house /Apartment,,53.3043753,-6.3023652,route,201906
2014-3-26,"BOHERBOY, PAULSTOWN, CO KILKENNY",,Kilkenny,35000,No,No,Second-Hand Dwelling house /Apartment,,52.6813185,-7.0211221,locality-political,201403
2017-7-27,"APT 20 LAR NA CATHRACH, ABBEY TRINITY, TUAM",,Galway,40000,No,No,Second-Hand Dwelling house /Apartment,,53.5152733,-8.8540825,premise,201707
2016-8-10,"8, shantobar, ballinalee",,Longford,44052,No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres,53.7745413,-7.6561444,street_address,201608
2018-1-2,"28 HANOVER DOCK, HANOVER QUAY, DUBLIN 2",Dublin 2,Dublin,1500000,No,No,Second-Hand Dwelling house /Apartment,,53.3447538,-6.2380521,subpremise,201801
2021-2-7,"16 ST JOHNS TERRACE, ORMOND ST, NENAGH",,Tipperary,115000,No,No,Second-Hand Dwelling house /Apartment,,52.8698306,-8.1962075,premise,202102
2021-11-25,"45 Maple Hill, Castle Heights, Carrigaline",,Cork,262114.53,Yes,Yes,New Dwelling house /Apartment,,51.804497,-8.3980554,intersection,202111
2015-6-2,"7 THE SQUARE, SKERRIES, CO DUBLIN",,Dublin,200000,No,No,Second-Hand Dwelling house /Apartment,,53.5800899,-6.1107404,street_address,201506
2020-3-6,"11 CHESTNUTWALK, KILMUCKRIDGE, GOREY",,Wexford,162000,No,No,Second-Hand Dwelling house /Apartment,,52.5151362,-6.2825884,street_address,202003
2015-11-9,"7A Flaxmill Court, Flaxmill Lane, Drogheda",,Meath,58545.46,No,No,Second-Hand Dwelling house /Apartment,,53.7249626,-6.3428444,premise,201511
2015-2-17,"5 Prior Park Terrace, Clonmel",,Tipperary,105000,No,No,Second-Hand Dwelling house /Apartment,,52.3602723,-7.7026098,street_address,201502
2020-6-25,"11 Church Green, Ballinglanna, Glanmire",,Cork,334801,No,Yes,New Dwelling house /Apartment,,51.9213593,-8.3828011,neighborhood-political,202006
2018-7-25,"7 TEMPLE MANOR GROVE, GREENHILLS, DUBLIN 12",Dublin 12,Dublin,421500,No,No,Second-Hand Dwelling house /Apartment,,53.3065677,-6.3329589,street_address,201807
2014-12-17,"73 Preston Brook, Rathangan, Co Kildare",,Kildare,120704.84,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,53.2178053,-7.0064836,street_address,201412
2014-7-23,"DUNWORLEY, TIMOLEAGUE",,Cork,215000,No,No,Second-Hand Dwelling house /Apartment,,51.6432296,-8.7661887,locality-political,201407
2017-8-5,"18 AVONDALE HALL, 151 PARNELL ST, DUBLIN 1",Dublin 1,Dublin,150500,No,No,Second-Hand Dwelling house /Apartment,,53.3495933,-6.26903,subpremise,201708
2021-9-13,"22 TULLYVARRAGA CRESENT, SHANNON, CLARE",,Clare,255000,No,No,Second-Hand Dwelling house /Apartment,,52.7079995,-8.869295,street_address,202109
2018-7-13,"LECARROW, KNOCKROE, CROGHAN BOYLE",,Roscommon,171000,No,No,Second-Hand Dwelling house /Apartment,,43.895902,-75.3924083,locality-political,201807
